,aliMallSeller,anony,appendComment,attributes,attributesMap,aucNumId,auctionPicUrl,auctionPrice,auctionSku,auctionTitle,buyCount,carServiceLocation,cmsSource,displayRatePic,displayRateSum,displayUserLink,displayUserNick,displayUserNumId,displayUserRateLink,dsr,fromMall,fromMemory,gmtCreateTime,goldUser,headExtraPic,id,memberIcon,pics,picsSmall,position,rateContent,rateDate,reply,sellerId,serviceRateContent,structuredRateList,tamllSweetLevel,tmallSweetPic,tradeEndTime,tradeId,useful,userIdEncryption,userInfo,userVipLevel,userVipPic
0,False,True,"{'commentId': '', 'commentTime': '2018-05-19 23:47:40', 'content': '用了一段时间   就是电池有点不耐用', 'days': 26, 'pics': '', 'reply': ''}",,,,,,机身颜色:6G运存+128G 全网通海鸥灰现货[直降800元];套餐类型:官方标配;存储容量:128GB;版本类型:中国大陆,,0,,天猫,,0,,至***神,,,0.0,True,0,1526744859000,False,,1003595074495,,,,,15天内买家未作出评价,2018-05-19 23:47:39,,270215026,,[],0,,1524490411000,,True,,,0,
1,False,False,,,,,,,机身颜色:6G运存+128G 全网通海鸥灰现货[直降800元];套餐类型:套餐一;存储容量:128GB;版本类型:中国大陆,,0,,天猫,,0,,李***桀,,,0.0,True,0,1526730480000,False,,1003546308864,,,,,显示效果： 很好，比荣耀七好很多 运行速度： 很好，比荣耀七好很多 拍照效果： 很好，比荣耀七好很多 电池续航： 很好，比荣耀七好很多 总结： 很好，比荣耀七好很多,2018-05-19 19:48:00,,270215026,,[],0,,1526730429000,,True,,,0,
2,False,False,,,,,,,机身颜色:6G运存+128G 全网通魅海蓝现货[直降800元];套餐类型:官方标配;存储容量:128GB;版本类型:中国大陆,,0,,天猫,,0,,w***4,,,0.0,True,0,1526651481000,False,,1003471819747,,"['//img.alicdn.com/bao/uploaded/i3/TB27T1DseuSBuNjy1XcXXcYjFXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i4/TB2d1bBf0cnBKNjSZR0XXcFqFXa_!!0-rate.jpg']",,"620-11-0,5;620-12-6,23;",显示效果： 色彩像素五彩缤纷色彩鲜艳，像素也确实不错，合格！ 运行速度： 才开始不怎么快，系统精简点清理一下，用安全卫士杀下。好好把系统设置设置整理洁净，现在运行的还是很快挺好的！基本合格！ 拍照效果： 拍照效果那真的是一流的高清像素！棒棒哒！满意！ 电池续航： 所有手机要说华为手机电池续航还是做工过硬。满分电池合格！ 总结： 手机很不错，总得来说还是称心如意的买到好东西了！,2018-05-18 21:51:21,,270215026,,[],0,,1526509323000,,True,,,0,
3,False,False,,,,,,,机身颜色:6G运存+64G 全网通 海鸥灰现货[直降500元];套餐类型:官方标配;存储容量:64GB;版本类型:中国大陆,,0,,天猫,,0,,h***4,,,0.0,True,0,1526643321000,False,,1003426164742,,,,"920-11-0,6;",显示效果： 用了才来评价 非常流畅 个人喜欢这次购物 满意 运行速度： 非常好 拍照效果： 比我之前购买的都好 电池续航： 大概两天 总结： 个人非常满意,2018-05-18 19:35:21,,270215026,,[],0,,1526643212000,,True,,,0,
4,False,True,,,,,,,机身颜色:6G运存+128G 全网通海鸥灰现货[直降800元];套餐类型:套餐二;存储容量:128GB;版本类型:中国大陆,,0,,天猫,,0,,逝***2,,,0.0,True,0,1526637860000,False,,1003442934762,,"['//img.alicdn.com/bao/uploaded/i3/TB23RZAjMKTBuNkSne1XXaJoXXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i3/TB2I17Tr3mTBuNjy1XbXXaMrVXa_!!0-rate.jpg']",,,显示效果： 显示效果很好，色彩也不错，没有任何色差，手机很漂亮 运行速度： 运行速度很快，很流畅 拍照效果： 拍照效果也不错， 电池续航： 充一次电我能用一天左右玩的时间也挺长的,2018-05-18 18:04:20,,270215026,,[],0,,1526637689000,,True,,,0,
5,False,False,,,,,,,机身颜色:6G运存+128G 全网通海鸥灰现货[直降800元];套餐类型:官方标配;存储容量:128GB;版本类型:中国大陆,,0,,天猫,,0,,q***0,,,0.0,True,0,1526556071000,False,,1003317697175,,,,"121-11-100,109;620-12-46,59;620-12-0,4;620-11-31,45;920-11-5,9;",显示效果： 显示效果清晰，色彩鲜艳，像素很高 运行速度： 之前用的是2G，现在，哼哼，就好比是步行与汽车 拍照效果： 竟然可以拍出单反的效果，哈哈，不用买单反机了 电池续航： 正常待机加偶尔浏览一下小视频，到晚上还可以有50%的电 总结： 整体来说，非常满意。特地用了一段时间才给的评论，不过有点后悔，因为我还有两部手机暂时可以用，我该等到出了5G手机再买的。不过，到手后竟然找不到退货的理由，唉！谁让我喜欢上这个颜色了呢！哦，我买的灰色，大方不张扬还不老气,2018-05-17 19:21:11,,270215026,,[],0,,1526449356000,,True,,,0,
6,False,False,,,,,,,机身颜色:6G运存+64G 全网通 幻夜黑现货[直降500元];套餐类型:官方标配;存储容量:64GB;版本类型:中国大陆,,0,,天猫,,0,,l***8,,,0.0,True,0,1526552563000,False,,1003311441542,,,,"621-13-16,20;621-12-6,14;",显示效果： 不错 运行速度： 可以啊   非常不错 拍照效果： 都行 电池续航： 还可以  就是玩游戏有点费电 总结： 都行吧   就是配件少了一样  没有耳机|,2018-05-17 18:22:43,,270215026,,[],0,,1525624216000,,True,,,0,
7,False,False,,,,,,,机身颜色:4G运存+64G 全网通 幻夜黑现货[直降100元];套餐类型:官方标配;存储容量:64GB;版本类型:中国大陆,,0,,天猫,,0,,星***丽,,,0.0,True,0,1526540053000,False,,1003267824373,,,,"920-11-0,7;",正常使用没问题,2018-05-17 14:54:13,,270215026,,[],0,,1526539969000,,True,,,0,
8,False,False,,,,,,,机身颜色:6G运存+128G 全网通琥珀金现货[直降800元];套餐类型:官方标配;存储容量:128GB;版本类型:中国大陆,,0,,天猫,,0,,h***1,,,0.0,True,0,1526531182000,False,,1003278115628,,,,"920-11-0,8;20520-12-9,14;",显示效果： 色彩像素效果棒棒的 运行速度： 我下载了一百多个软件都不卡，就是安卓8的兼容性不是很好 拍照效果： 6666 电池续航： 玩游戏哪个手机都不行，只能说续航主流 总结： 足够满足日常所需，性价比之选。,2018-05-17 12:26:22,,270215026,,[],0,,1526529807000,,True,,,0,
9,False,True,"{'commentId': '', 'commentTime': '2018-05-17 10:54:46', 'content': '很好用', 'days': 58, 'pics': '', 'reply': ''}",,,,,,机身颜色:4G运存+64G 全网通 幻夜黑现货[拍下立减50元];套餐类型:官方标配;存储容量:64GB;版本类型:中国大陆,,0,,天猫,,0,,小***8,,,0.0,True,0,1526525686000,False,,1003266111349,,,,,15天内买家未作出评价,2018-05-17 10:54:46,,270215026,,[],0,,1521455729000,,True,,,0,
